IFB point ID,Customer_ID,Customer name,Purchase Date,Machine Type,Phone number,Email ID,Status,Next appointment,Interested/ Not Interested,Remarks
56372,1449,Kavin,25/04/2019,IFB TL-RCG 6.5kg Aqua - TL,9950313198,user2@example.com,,,,
56372,6112,Sneha,30/06/2019,IFB Microwave Oven 30BRC2 - Microwave Oven,9327108127,user3@example.com,,,,
56372,4707,Anu,04/09/2019,IFB Executive Plus ZXB - FL,9910237661,user4@example.com,,,,
56372,3738,Meena,09/11/2019,IFB Turbo Dry MX - Dryer,9603033340,user5@example.com,,,,
56372,3029,Rahul,14/01/2020,IFB Senator Plus SX - FL,9307727705,user6@example.com,,,,
56372,5167,Sneha,20/03/2020,IFB 25SC4 Convection - Microwave Oven,9308870290,user7@example.com,,,,
56372,8613,Kavin,25/05/2020,IFB Turbo Dry MX - Dryer,9931193304,user8@example.com,,,,
56372,6663,Vikram,30/07/2020,IFB TL-SDG 7.0kg Silver - TL,9647576050,user9@example.com,,,,
56372,1663,Sneha,04/10/2020,IFB TL-SDG 7.0kg Silver - TL,9405778373,user10@example.com,,,,
56372,3754,Sneha,09/12/2020,IFB Senator Plus SX - FL,9286736871,user11@example.com,,,,
56372,3502,Vikram,13/02/2021,IFB Turbo Dry MX - Dryer,9993234674,user12@example.com,,,,
56372,5328,Rahul,20/04/2021,IFB Neptune SX1 - Dishwasher,9536444693,user13@example.com,,,,
56372,2348,Vikram,25/06/2021,IFB TurboDry EX 5.5kg - Dryer,9320035686,user14@example.com,,,,
56372,7808,Vikram,30/08/2021,IFB Senator Plus SX - FL,9813683474,user15@example.com,,,,
56372,9047,Karthik,04/11/2021,IFB Microwave Oven 30BRC2 - Microwave Oven,9297909433,user16@example.com,,,,
56372,1146,Karthik,09/01/2022,IFB Diva Aqua VX - FL,9722023337,user17@example.com,,,,
56372,4939,Priya,16/03/2022,IFB 25SC4 Convection - Microwave Oven,9997903170,user18@example.com,,,,
56372,4012,Anu,21/05/2022,IFB TL-RCG 6.5kg Aqua - TL,9148879384,user19@example.com,,,,
56372,4207,Sneha,26/07/2022,IFB Senator Plus SX - FL,9129331371,user20@example.com,,,,
56372,5505,Karthik,30/09/2022,IFB Senator Plus SX - FL,9987864249,user21@example.com,,,,
56372,8004,Karthik,05/12/2022,IFB Microwave Oven 30BRC2 - Microwave Oven,9678655081,user22@example.com,,,,
56372,5707,Anu,09/02/2023,IFB Neptune SX1 - Dishwasher,9443042031,user23@example.com,,,,
56372,8130,Arun,16/04/2023,IFB Senator Plus SX - FL,9629103281,user24@example.com,,,,
56372,7172,Arun,21/06/2023,IFB Turbo Dry MX - Dryer,9289502121,user25@example.com,,,,
56372,5982,Rahul,26/08/2023,IFB TurboDry EX 5.5kg - Dryer,9866356684,user26@example.com,,,,
56372,6582,Anu,31/10/2023,IFB Microwave Oven 30BRC2 - Microwave Oven,9293898372,user27@example.com,,,,
56372,3047,Karthik,05/01/2024,IFB Elena GXN 6510 CMS - FL,9407135253,user28@example.com,,,,
56372,4150,Kavin,11/03/2024,IFB Elena GXN 6510 CMS - FL,9516431667,user29@example.com,,,,
56372,1785,Vikram,16/05/2024,IFB Executive Plus ZXB - FL,9839924140,user30@example.com,,,,
56372,3835,Anu,21/07/2024,IFB Neptune VX2 Plus - Dishwasher,9678780153,user31@example.com,,,,
56372,7274,Vikram,25/09/2024,IFB TL-SDG 7.0kg Silver - TL,9483841832,user32@example.com,,,,
56372,4645,Kavin,30/11/2024,IFB Executive Plus ZXB - FL,9804174420,user33@example.com,,,,
56372,4384,Kavin,04/02/2025,IFB Neptune VX2 Plus - Dishwasher,9587561027,user34@example.com,,,,
56372,1554,Kavin,11/04/2025,IFB Executive Plus ZXB - FL,9761660763,user35@example.com,,,,
56372,3991,Vikram,16/06/2025,IFB TurboDry EX 5.5kg - Dryer,9650320747,user36@example.com,,,,
56372,5018,Karthik,21/08/2025,IFB TurboDry EX 5.5kg - Dryer,9842531771,user37@example.com,,,,
56372,4845,Anu,26/10/2025,IFB Senator Plus SX - FL,9686598583,user38@example.com,,,,
56372,9006,Sneha,31/12/2025,IFB TL-SDG 7.0kg Silver - TL,9624204122,user39@example.com,,,,
56372,1942,Anu,07/03/2026,IFB TurboDry EX 5.5kg - Dryer,9512565062,user40@example.com,,,,
56372,7479,Priya,12/05/2026,IFB Neptune VX2 Plus - Dishwasher,9687216755,user41@example.com,,,,
